disease,advice
Pepper__bell__Bacterial_spot,"Remove infected leaves and stems immediately. Spray copper-based fungicide (e.g., Bordeaux mixture) every 7–10 days. Avoid overhead watering. Use drip irrigation and good spacing for air circulation. Apply neem oil as natural preventive."
Pepper__bell__healthy,"Your pepper plant is healthy! Keep soil moist but not waterlogged, provide 6–8 hours sunlight, use balanced organic fertilizer (e.g., compost tea). Watch for early signs of pests like aphids."
Potato___Early_blight,"Remove and destroy affected leaves. Spray copper oxychloride or Mancozeb fungicide. Improve air flow by proper spacing. Avoid watering leaves in evening. Rotate crops every 2–3 years."
Potato___healthy,"Healthy potato crop! Maintain consistent moisture, hill up soil around stems, use organic mulch. Apply potassium-rich fertilizer for tuber growth."
Potato___Late_blight,"This is serious – destroy heavily infected plants. Spray Ridomil Gold or Revus fungicide early. Avoid overhead watering. Use resistant varieties next season. Clear all crop debris."
Tomato_Bacterial_spot,"Remove infected parts, disinfect tools. Spray copper hydroxide or streptomycin (if allowed). Avoid working when plants are wet. Use resistant varieties and crop rotation."
Tomato_Early_blight,"Prune lower leaves, mulch soil, spray neem oil or copper fungicide. Improve ventilation. Rotate with non-tomato crops for 2–3 years."
Tomato_healthy,"Your tomato plant looks good! Stake plants, water at base, apply compost/manure. Pinch suckers for better fruiting. Protect from heavy rain."
Tomato_Late_blight,"Urgent action needed: remove and burn infected plants. Spray systemic + contact fungicide (e.g., Ridomil + Mancozeb). Avoid wet leaves. Use raised beds for better drainage."
Tomato_Leaf_Mold,"Increase air circulation, reduce humidity in greenhouse. Spray sulfur-based fungicide or biofungicides. Remove lower leaves touching soil."
Tomato_Septoria_leaf_spot,"Remove infected leaves, mulch around base. Spray chlorothalonil or copper fungicide. Avoid overhead watering. Rotate crops."
Tomato_Spider_mites_Two_spotted_spider_mite,"Spray neem oil or insecticidal soap every 5–7 days. Increase humidity. Introduce predatory mites if possible. Avoid dry, dusty conditions."
Tomato__Target_Spot,"Prune affected leaves, apply fungicide (chlorothalonil). Improve air flow, avoid wetting foliage. Use resistant varieties."
Tomato__Tomato_mosaic_virus,"No cure – remove and destroy infected plants immediately. Disinfect tools with bleach. Control aphids (virus vector). Use certified virus-free seeds."
Tomato__Tomato_YellowLeaf__Curl_Virus,"Control whiteflies (vector) with neem oil or yellow sticky traps. Remove infected plants. Use resistant varieties (e.g., TYLCV-resistant tomatoes). Avoid overlapping crops."